preprocessing_time,inference_time,postprocessing_time,tracking_time,network_time
5.7831,32.2554,0.4628,3.7918,27.7069
5.7292,30.6094,0.4265,3.6006,30.6343
5.6686,30.2348,0.4268,3.6609,26.0089
5.7259,30.9174,0.4263,3.7134,27.2171
5.6686,31.1267,0.4246,3.8812,32.8988
6.2349,29.4757,0.4294,3.5901,28.2699
5.7456,30.1812,0.4263,3.6604,27.9864
5.6164,29.4516,0.4265,3.5350,29.9704
5.7783,29.7627,0.4411,3.2983,31.7196
5.7814,30.6740,0.4401,3.4928,28.6117
5.8103,32.6595,0.4585,3.5510,33.5207
5.9063,31.7521,0.4590,3.4657,30.4169
5.8396,31.5967,0.4728,3.5322,28.5588
7.1383,31.5361,0.4404,3.6440,31.2413
5.6770,31.8441,0.4411,3.6638,33.3740
5.7976,32.0568,0.4382,3.6933,27.0140
5.6882,32.6538,0.4528,4.0054,29.1998
6.1083,26.4745,0.3626,3.4235,25.6312
6.0682,26.0465,0.3791,3.4544,35.0517
5.7271,25.3820,0.3738,3.3722,28.1449
5.7039,24.9124,0.3839,3.2349,27.7650
5.8272,25.1937,0.4532,3.4781,28.0478
5.7888,25.3258,0.3817,2.9414,35.5623
5.9876,26.6807,0.3965,3.0241,28.9111
5.9004,26.5503,0.3946,2.9795,30.1752
5.8839,26.2663,0.4010,2.9640,26.4847
5.8653,26.5286,0.3967,3.2938,28.9156
5.9659,28.1370,0.4234,3.4044,31.0693
5.9202,27.5135,0.3977,3.0818,31.0868
8.0912,27.6008,0.3989,3.0680,26.8412
5.8606,26.9988,0.4115,3.0684,26.6607
5.8453,27.1106,0.3970,3.0861,31.5611
5.9092,26.5882,0.4098,3.2277,31.8650
8.2593,40.5481,0.5698,4.6906,34.9321
7.8139,37.5879,0.5460,4.7982,31.2540
7.8940,35.6388,0.5300,4.3173,29.6199
7.7198,34.8241,0.5441,4.3175,29.5945
7.6084,30.8201,0.4125,3.2196,30.9394
5.7616,27.6563,0.4151,3.2191,31.9478
5.6574,27.6158,0.4148,3.3517,31.9602
6.6388,28.0018,0.4251,3.3724,30.5619
6.2175,27.7629,0.4146,3.3894,29.2157
5.6100,28.4531,0.4158,3.4070,31.1141
5.7168,31.0509,0.4358,3.5760,30.2204
6.1557,28.8599,0.4120,3.3884,30.1840
6.2630,29.7434,0.4146,3.4976,32.0813
6.0198,32.2330,0.5221,4.0581,29.1669
5.8377,30.9904,0.4280,3.9940,28.7500
5.6603,27.7467,0.4220,3.7014,32.4696
5.6515,28.5301,0.4187,3.5813,27.8185
5.6705,29.2358,0.4275,3.6345,32.0317
6.6974,31.9490,0.4356,3.8528,40.0651
5.8067,31.0218,0.4416,3.8066,28.9233
5.9071,30.3051,0.4425,3.5119,29.8334
5.7793,30.4446,0.4418,3.5369,36.7974
5.9512,30.1108,0.4385,3.3627,30.1369
5.9144,31.3730,0.4561,3.7253,31.5311
5.8718,30.5717,0.4406,3.4792,34.6367
5.9707,31.8630,0.4587,3.6814,35.0262
5.9507,32.7480,0.4604,3.6445,36.1965
