Preprocessing,Inference,Postprocessing,Tracking,OpFlow
4.1756,109.7395,4.2806,1.0358,0.0000
4.6108,109.5684,4.2128,1.0502,0.0000
4.2996,109.5498,3.9541,1.0398,0.0000
4.1823,109.6916,4.2168,1.0117,0.0000
4.2023,110.0099,4.2888,1.0031,0.0000
4.5854,109.7856,4.1830,1.0502,0.0000
4.3398,109.5828,3.9757,0.9956,0.0000
4.1744,109.6202,4.1116,1.0332,0.0000
4.1549,109.8896,4.2763,0.9566,0.0000
4.5240,109.9984,4.2201,0.9696,0.0000
4.3365,109.6171,3.9475,1.0530,0.0000
4.1895,109.8394,4.1542,0.9849,0.0000
4.2159,109.9349,4.2985,0.9732,0.0000
4.1394,109.1353,4.1178,0.9253,0.0000
4.2907,109.9007,3.9371,1.0343,0.0000
4.2041,110.0218,4.1916,0.9728,0.0000
4.1542,109.6075,4.2692,0.9287,0.0000
4.2089,109.7650,4.1987,0.9599,0.0000
4.4398,109.3197,3.9484,0.9510,0.0000
4.1874,109.6974,4.1973,0.9836,0.0000
4.1854,109.8947,4.3364,1.0500,0.0000
4.4400,109.6609,4.2729,1.0048,0.0000
4.2941,109.8095,3.9458,0.9857,0.0000
4.1649,109.7161,4.2307,0.9953,0.0000
4.1821,109.6097,4.3722,1.0830,0.0000
4.6187,109.8845,4.2345,0.9980,0.0000
4.3077,109.5120,3.9587,1.0093,0.0000
4.2249,109.7847,4.2386,1.0841,0.0000
4.1941,109.8220,4.3929,1.0240,0.0000
4.2542,109.6790,4.1085,0.9664,0.0000
4.3420,109.5533,3.8445,0.9580,0.0000
4.1902,110.0249,4.1944,0.9807,0.0000
4.1793,109.7242,4.3354,1.0339,0.0000
4.4789,109.6834,4.2117,0.9661,0.0000
4.2577,110.3008,3.7893,1.0105,0.0000
4.1738,109.7580,4.2290,0.9993,0.0000
4.1817,109.7309,4.3504,0.9707,0.0000
4.7196,109.6711,4.2117,1.0000,0.0000
4.3413,109.7767,3.8314,0.9688,0.0000
4.1653,109.7942,4.2969,1.0372,0.0000
4.1635,109.6988,4.3758,1.1003,0.0000
4.5033,109.8049,4.2844,0.9942,0.0000
4.3477,109.6284,3.8351,1.0014,0.0000
4.2379,109.7817,4.2187,0.9954,0.0000
4.1779,110.7400,4.3619,0.9970,0.0000
4.6118,109.8847,4.2501,1.0144,0.0000
4.3107,110.5361,3.9016,1.0444,0.0000
4.1761,110.1585,4.2719,1.0216,0.0000
4.1945,109.6182,4.3881,1.0345,0.0000
4.5555,109.8713,4.2905,1.0709,0.0000
4.3210,109.6397,3.8249,0.9983,0.0000
4.1845,109.9156,4.2525,1.1878,0.0000
4.2076,109.6917,4.3406,1.0017,0.0000
4.5806,109.8795,4.2052,1.0881,0.0000
4.3610,109.5268,3.8070,1.0239,0.0000
4.2158,109.9242,4.2427,1.2179,0.0000
4.1855,109.9293,4.4217,1.0200,0.0000
4.5997,109.6672,4.2456,1.0404,0.0000
4.3212,109.6339,3.8274,1.0381,0.0000
4.2036,109.6180,4.2418,1.0149,0.0000
4.1994,110.3491,4.4009,1.0467,0.0000
5.1359,109.9735,4.2139,0.9788,0.0000
4.4085,109.4117,3.8660,0.9950,0.0000
4.2075,109.7510,4.2605,1.0312,0.0000
