preprocessing_time,inference_time,postprocessing_time,tracking_time,network_time
5.2156,37.3321,0.4833,3.6864,32.2826
5.2619,38.5041,0.3340,3.9160,30.9839
5.2145,37.9229,0.3276,3.8021,31.7330
5.0910,38.4536,0.3288,4.0298,27.0969
5.1346,40.5622,0.3340,4.2777,30.6915
6.2828,38.4583,0.3293,3.9465,29.9830
5.6422,37.7333,0.3264,3.8173,28.4808
5.7337,40.2167,0.3970,4.0550,28.5976
5.1439,37.4386,0.3338,3.6283,31.4554
5.1935,37.6904,0.3273,3.5832,25.2056
5.1618,39.1407,0.3433,3.9897,26.3645
5.1377,38.3739,0.3290,3.9039,33.2555
5.1017,37.3938,0.3264,3.9616,26.2166
5.0883,36.7444,0.3269,3.7072,32.1333
5.2404,37.3957,0.3283,3.7119,33.3236
5.2009,37.9007,0.3264,3.7684,30.8036
5.2710,37.2412,0.3276,3.9473,30.2130
5.1055,37.8759,0.3264,4.1494,28.5428
5.1510,37.4582,0.3276,3.9399,28.1233
5.2335,37.7588,0.3257,3.8035,29.8785
5.1212,37.2972,0.3290,3.8338,23.4187
5.1894,38.1608,0.3273,4.0126,31.3098
5.1117,37.3297,0.3369,3.9217,28.3000
5.1043,37.3805,0.3285,3.9489,31.2378
5.2886,37.4258,0.3293,3.9313,26.0251
9.0027,41.6911,0.3457,4.4200,28.5405
5.7173,39.0046,0.3314,4.9632,29.9836
5.1749,40.2153,0.3543,4.4999,35.7557
5.2507,38.8079,0.3278,4.1330,32.4806
5.7244,40.9796,0.3529,4.2055,30.7376
5.2817,39.1557,0.3321,4.2841,29.9463
5.2929,38.4123,0.3288,4.5044,29.4616
5.1639,38.8434,0.3281,4.3647,29.2999
5.1782,39.2060,0.3281,4.5967,26.6910
5.2423,39.0790,0.3269,4.7970,26.5548
5.2466,38.6329,0.3266,4.3941,29.3998
5.3210,38.4419,0.3271,4.1883,31.7217
5.4185,38.1656,0.3259,4.0255,26.0645
5.2235,37.9443,0.3273,3.9101,27.5948
5.2993,38.8250,0.3271,4.2629,29.2856
5.4042,39.8877,0.3383,4.3902,28.9795
6.7034,37.9033,0.3321,3.8850,30.1762
5.8336,38.4245,0.3285,4.2686,30.1447
6.7189,65.6066,0.3800,4.6482,31.6463
5.3496,41.7011,0.3431,4.5469,27.0593
5.5580,40.9398,0.3407,4.4150,34.7464
6.3028,42.4137,0.3555,4.4053,27.5227
5.3787,39.5236,0.3333,4.3890,30.3753
5.4262,39.1514,0.3324,4.1177,33.9723
5.4231,41.0821,0.3374,4.3297,38.8277
5.4240,39.6984,0.3326,4.1635,27.3815
5.4708,40.8716,0.3316,4.5857,32.7402
5.2512,39.7148,0.3281,4.7762,32.9297
5.4121,39.1471,0.3285,4.5247,26.5875
5.2605,39.6287,0.3269,4.5793,29.2046
5.3158,38.9123,0.3276,4.4351,31.0093
5.2209,39.3953,0.3283,4.3862,23.6693
5.5435,38.9874,0.3285,4.3204,24.8202
5.2755,38.4791,0.3340,4.1177,25.7937
5.3015,39.4208,0.3521,4.5059,27.4197
6.4962,40.2741,0.3283,4.2415,26.6599
5.9199,38.5087,0.3285,4.4441,33.7987
5.3158,38.4560,0.3302,4.2169,27.6811
5.5559,39.1932,0.3924,4.3817,29.4769
5.3451,39.7391,0.3347,4.3626,29.2184
5.4460,39.7131,0.3281,4.7293,33.7836
5.4750,40.0381,0.3283,4.5836,31.5749
5.3036,40.6020,0.3450,4.7693,28.9801
5.3844,40.6322,0.3383,5.0247,27.6203
5.3833,40.2722,0.3297,5.0411,29.9737
5.3270,40.1599,0.3293,4.7717,31.4121
5.5258,40.2384,0.3347,5.0089,28.8921
5.3341,41.5671,0.3288,4.8656,26.9043
5.3446,40.7925,0.3278,4.7586,27.7765
5.3234,40.8947,0.3395,5.0395,24.4029
5.3492,40.2012,0.3262,4.7548,30.3687
5.3179,40.6063,0.3278,4.6134,25.1346
5.3499,39.0053,0.3295,4.3340,28.9814
5.2893,40.1964,0.3309,4.3881,26.7952
5.3344,39.6662,0.3266,4.3361,31.3367
5.5277,40.9276,0.3295,4.6661,29.5490
5.3890,39.8355,0.3288,4.5171,28.9297
5.3217,40.1881,0.3309,4.5512,32.6081
5.3089,39.9837,0.3281,4.5712,30.8081
5.3008,39.5911,0.3283,4.5111,30.2687
7.0043,42.2537,0.3364,4.5266,31.8790
5.8300,39.3631,0.3297,4.1091,29.3679
5.3437,39.9401,0.3281,3.9127,29.4755
5.3344,40.2880,0.3290,4.1823,29.8663
5.4483,40.3905,0.3920,4.3652,26.4040
5.2731,39.0303,0.3283,4.2048,30.1635
5.4004,39.5496,0.3300,4.0514,30.6686
5.2910,38.4409,0.3297,4.1080,30.8304
5.3353,38.9197,0.3345,3.9394,31.4711
5.3132,38.5308,0.3290,3.9940,28.8330
5.3475,40.1185,0.3371,3.9341,31.2628
5.3084,38.1055,0.3271,3.9937,23.2653
5.5463,37.2357,0.3259,4.0731,26.8189
5.3077,38.4424,0.3266,4.1847,27.7386
5.4023,38.4321,0.3281,4.0004,29.8371
5.3062,38.5497,0.3278,4.0948,28.7214
5.4970,38.6939,0.3388,4.0243,31.4461
5.3191,37.9276,0.3293,3.9616,28.4624
5.5330,38.4500,0.3300,4.0574,29.6296
5.3241,38.4114,0.3400,4.0140,31.9105
5.4972,37.8039,0.3257,3.8776,27.4956
5.3313,38.3661,0.3269,3.8188,32.1570
5.4982,38.0883,0.3285,3.8671,29.2178
5.2993,38.5256,0.3266,3.7749,28.0736
5.5244,37.8540,0.3293,3.7725,28.5199
5.3010,37.0905,0.3278,3.6905,25.5902
5.2936,38.5132,0.3288,4.1349,22.7295
5.2867,39.5629,0.3273,4.0493,30.7737
5.3303,38.6832,0.3293,3.9470,26.7102
5.3065,37.9403,0.3333,3.9511,28.4689
5.5084,41.4627,0.3369,4.5235,31.1685
6.6726,39.7930,0.3285,4.4005,28.8053
5.8074,38.9209,0.3998,4.2257,28.6462
5.3089,39.8438,0.3328,4.0579,29.4566
5.5110,37.7691,0.3440,3.7878,29.5881
5.3124,38.4135,0.3371,3.8795,28.0574
5.3456,40.1068,0.3376,3.9024,28.3076
5.2922,37.5800,0.3319,3.6130,27.1829
5.4734,37.8704,0.3335,3.7200,29.6026
5.2986,37.5283,0.3288,3.7558,31.0885
5.4152,37.5624,0.3297,3.8292,26.8635
5.3551,38.5725,0.3300,3.8683,27.8740
5.3155,38.3976,0.3278,3.6750,29.2841
5.3189,37.4987,0.3293,3.5861,28.2671
5.4283,37.8337,0.3276,3.7799,26.6305
5.3227,37.7789,0.3264,4.0460,31.5261
5.2962,37.2920,0.3281,3.8624,26.2213
5.3954,38.2276,0.3271,3.9659,29.0841
5.2936,38.9435,0.3295,4.1556,31.2777
5.3101,38.8772,0.3276,4.1733,36.3118
5.2979,40.5838,0.3688,4.4577,27.2917
6.6385,40.1125,0.3269,4.1647,30.7574
5.8227,38.4912,0.3285,4.3278,28.0298
5.3549,38.9857,0.3273,4.7550,27.5770
5.3055,38.3639,0.3381,3.8843,31.1081
5.2657,37.9169,0.3295,3.8280,27.6598
5.4307,37.7419,0.3288,3.8071,32.6916
5.2490,38.3224,0.3300,4.0221,30.0764
5.4748,40.5574,0.3476,4.2148,30.4054
5.2567,39.0441,0.3338,4.1211,30.2444
5.2679,38.4674,0.3304,4.0352,26.8991
5.2404,38.5261,0.3271,3.9794,28.9269
6.5546,40.4720,0.3483,4.1075,29.5176
5.3010,38.1274,0.3295,3.8831,30.3590
5.3136,37.9438,0.3264,3.6824,26.7338
5.2757,37.8661,0.3278,3.6645,29.8658
5.5094,38.1761,0.3293,3.5639,24.4214
5.2812,37.9863,0.3266,3.5098,29.8961
5.5017,37.3118,0.3283,3.4480,30.4101
5.3205,38.8424,0.3369,3.5584,29.9417
6.5632,38.9941,0.3285,3.4571,26.6571
5.8358,37.3724,0.3281,3.4182,29.0456
5.2893,38.0294,0.3927,3.5405,32.7481
5.2917,36.3007,0.3300,3.0341,30.0436
