Preprocessing,Inference,Postprocessing,Tracking,OpFlow
0.0000,0.0000,0.0000,0.0000,12.8241
4.6750,46.4560,4.1247,14.4819,0.0000
0.0000,0.0000,0.0000,0.0000,15.0985
0.0000,0.0000,0.0000,0.0000,11.9082
4.3996,47.1339,4.0826,12.1910,0.0000
0.0000,0.0000,0.0000,0.0000,12.6517
0.0000,0.0000,0.0000,0.0000,11.2061
4.2392,46.4752,4.1416,13.2348,0.0000
0.0000,0.0000,0.0000,0.0000,13.5868
0.0000,0.0000,0.0000,0.0000,13.7046
4.1454,47.1484,4.1941,15.7193,0.0000
0.0000,0.0000,0.0000,0.0000,18.9791
0.0000,0.0000,0.0000,0.0000,17.7524
4.4245,46.7121,4.0867,18.6113,0.0000
0.0000,0.0000,0.0000,0.0000,18.5575
0.0000,0.0000,0.0000,0.0000,17.0553
4.1555,46.4805,4.0602,21.7529,0.0000
0.0000,0.0000,0.0000,0.0000,13.9607
0.0000,0.0000,0.0000,0.0000,12.6405
4.1390,46.7635,3.7359,14.2429,0.0000
0.0000,0.0000,0.0000,0.0000,14.0883
0.0000,0.0000,0.0000,0.0000,12.9459
4.0990,46.4390,4.0948,14.7424,0.0000
0.0000,0.0000,0.0000,0.0000,13.0223
0.0000,0.0000,0.0000,0.0000,10.2295
4.1850,46.5213,4.1458,15.1816,0.0000
0.0000,0.0000,0.0000,0.0000,12.8663
0.0000,0.0000,0.0000,0.0000,13.4748
4.1432,46.4729,4.1647,14.3931,0.0000
0.0000,0.0000,0.0000,0.0000,12.6251
0.0000,0.0000,0.0000,0.0000,12.6936
4.3658,46.4279,4.0657,14.1194,0.0000
0.0000,0.0000,0.0000,0.0000,13.5142
0.0000,0.0000,0.0000,0.0000,13.0119
4.1841,46.4273,3.6910,12.8471,0.0000
0.0000,0.0000,0.0000,0.0000,13.4684
0.0000,0.0000,0.0000,0.0000,12.4455
4.1421,46.5267,4.1310,14.1893,0.0000
0.0000,0.0000,0.0000,0.0000,14.8381
0.0000,0.0000,0.0000,0.0000,14.4283
4.7397,46.5123,4.0168,14.2460,0.0000
0.0000,0.0000,0.0000,0.0000,14.4718
0.0000,0.0000,0.0000,0.0000,13.2467
4.1899,46.4601,4.1688,13.6427,0.0000
0.0000,0.0000,0.0000,0.0000,17.4591
0.0000,0.0000,0.0000,0.0000,14.2998
4.1414,46.5744,4.1378,14.7335,0.0000
0.0000,0.0000,0.0000,0.0000,13.9789
0.0000,0.0000,0.0000,0.0000,14.5447
4.1753,46.4682,4.1762,16.3308,0.0000
0.0000,0.0000,0.0000,0.0000,13.5474
0.0000,0.0000,0.0000,0.0000,14.5288
4.3044,46.5444,4.5160,18.4050,0.0000
0.0000,0.0000,0.0000,0.0000,16.3827
0.0000,0.0000,0.0000,0.0000,13.3062
4.2833,47.0232,4.1666,15.1934,0.0000
0.0000,0.0000,0.0000,0.0000,12.9445
0.0000,0.0000,0.0000,0.0000,11.8567
4.4236,46.6487,3.7361,16.1766,0.0000
0.0000,0.0000,0.0000,0.0000,16.4028
0.0000,0.0000,0.0000,0.0000,15.6617
4.1379,46.4139,4.1323,18.3615,0.0000
0.0000,0.0000,0.0000,0.0000,16.2842
0.0000,0.0000,0.0000,0.0000,15.4782
4.4645,46.5374,4.0175,16.5670,0.0000
0.0000,0.0000,0.0000,0.0000,14.9694
0.0000,0.0000,0.0000,0.0000,12.3370
4.1796,46.4693,4.1992,15.0623,0.0000
0.0000,0.0000,0.0000,0.0000,16.2368
0.0000,0.0000,0.0000,0.0000,16.9269
3.9741,46.5212,4.0102,17.4666,0.0000
0.0000,0.0000,0.0000,0.0000,17.5646
0.0000,0.0000,0.0000,0.0000,14.6471
3.7743,46.5352,4.0522,17.3264,0.0000
0.0000,0.0000,0.0000,0.0000,20.1210
0.0000,0.0000,0.0000,0.0000,17.1678
3.9602,46.3702,4.1118,20.2395,0.0000
0.0000,0.0000,0.0000,0.0000,17.3123
0.0000,0.0000,0.0000,0.0000,15.1011
4.0989,46.5165,4.1501,16.4494,0.0000
0.0000,0.0000,0.0000,0.0000,19.5202
0.0000,0.0000,0.0000,0.0000,18.2548
4.1585,46.5628,4.1085,22.6270,0.0000
0.0000,0.0000,0.0000,0.0000,17.1273
0.0000,0.0000,0.0000,0.0000,15.9301
3.9193,46.8187,4.1142,17.3613,0.0000
0.0000,0.0000,0.0000,0.0000,17.7748
0.0000,0.0000,0.0000,0.0000,16.9565
4.1761,46.5359,3.7348,18.6223,0.0000
0.0000,0.0000,0.0000,0.0000,16.0526
0.0000,0.0000,0.0000,0.0000,13.9047
3.9607,46.4736,3.8469,16.2017,0.0000
0.0000,0.0000,0.0000,0.0000,17.3834
0.0000,0.0000,0.0000,0.0000,14.9095
3.7878,46.5383,4.1529,16.3472,0.0000
0.0000,0.0000,0.0000,0.0000,17.9106
0.0000,0.0000,0.0000,0.0000,18.0184
3.9364,46.5068,4.1729,17.6758,0.0000
0.0000,0.0000,0.0000,0.0000,14.3100
0.0000,0.0000,0.0000,0.0000,18.9130
3.9835,46.5234,4.0543,14.3778,0.0000
0.0000,0.0000,0.0000,0.0000,15.4147
0.0000,0.0000,0.0000,0.0000,13.7375
4.0625,46.5411,4.0121,14.3312,0.0000
0.0000,0.0000,0.0000,0.0000,17.1668
0.0000,0.0000,0.0000,0.0000,16.7880
4.2075,46.4579,3.8045,18.2032,0.0000
0.0000,0.0000,0.0000,0.0000,13.5673
0.0000,0.0000,0.0000,0.0000,14.0327
4.0159,46.5490,4.1728,15.5406,0.0000
0.0000,0.0000,0.0000,0.0000,14.3604
0.0000,0.0000,0.0000,0.0000,14.3472
4.1277,46.4776,4.0468,15.2227,0.0000
0.0000,0.0000,0.0000,0.0000,14.4972
0.0000,0.0000,0.0000,0.0000,13.4579
4.1364,46.5871,4.1444,15.5831,0.0000
0.0000,0.0000,0.0000,0.0000,19.1453
0.0000,0.0000,0.0000,0.0000,17.1172
3.9516,46.9294,4.0020,18.9789,0.0000
0.0000,0.0000,0.0000,0.0000,19.8861
0.0000,0.0000,0.0000,0.0000,20.0574
3.9478,46.5134,3.9671,18.8046,0.0000
0.0000,0.0000,0.0000,0.0000,15.5366
0.0000,0.0000,0.0000,0.0000,18.1933
3.9719,46.5073,4.0156,17.4945,0.0000
0.0000,0.0000,0.0000,0.0000,18.3482
0.0000,0.0000,0.0000,0.0000,18.7992
4.2368,46.4216,4.0516,19.1665,0.0000
0.0000,0.0000,0.0000,0.0000,16.0669
0.0000,0.0000,0.0000,0.0000,14.5402
4.1626,46.3092,3.7749,17.2065,0.0000
0.0000,0.0000,0.0000,0.0000,18.8903
0.0000,0.0000,0.0000,0.0000,18.8826
4.1248,46.5522,4.1738,20.1027,0.0000
0.0000,0.0000,0.0000,0.0000,18.2120
0.0000,0.0000,0.0000,0.0000,18.7590
3.8199,46.7667,4.0581,19.1954,0.0000
0.0000,0.0000,0.0000,0.0000,12.8352
0.0000,0.0000,0.0000,0.0000,13.3347
4.2522,46.1616,4.1442,13.0160,0.0000
0.0000,0.0000,0.0000,0.0000,16.9014
0.0000,0.0000,0.0000,0.0000,13.6467
3.9548,46.4058,3.9565,17.8027,0.0000
0.0000,0.0000,0.0000,0.0000,13.2528
0.0000,0.0000,0.0000,0.0000,13.6438
3.9760,46.5455,3.9900,15.5655,0.0000
0.0000,0.0000,0.0000,0.0000,16.4753
0.0000,0.0000,0.0000,0.0000,17.2708
3.9762,46.5019,3.9986,17.5680,0.0000
0.0000,0.0000,0.0000,0.0000,16.2602
0.0000,0.0000,0.0000,0.0000,15.6043
4.2137,46.4702,4.0735,17.9321,0.0000
0.0000,0.0000,0.0000,0.0000,16.9196
0.0000,0.0000,0.0000,0.0000,15.5574
4.2065,46.4861,3.7528,17.6817,0.0000
0.0000,0.0000,0.0000,0.0000,17.3153
0.0000,0.0000,0.0000,0.0000,15.8386
4.1887,47.1074,4.1575,17.4834,0.0000
0.0000,0.0000,0.0000,0.0000,18.3882
0.0000,0.0000,0.0000,0.0000,16.7162
4.1687,46.5631,4.0177,19.1615,0.0000
0.0000,0.0000,0.0000,0.0000,19.4082
0.0000,0.0000,0.0000,0.0000,16.7771
4.2095,46.5908,4.1252,20.1364,0.0000
0.0000,0.0000,0.0000,0.0000,22.0256
0.0000,0.0000,0.0000,0.0000,22.9497
3.9357,46.4765,4.0314,21.6256,0.0000
0.0000,0.0000,0.0000,0.0000,18.5755
0.0000,0.0000,0.0000,0.0000,17.9655
4.0986,46.5066,4.0645,21.4744,0.0000
0.0000,0.0000,0.0000,0.0000,19.2823
0.0000,0.0000,0.0000,0.0000,17.9320
4.1890,46.4993,3.7491,20.4609,0.0000
0.0000,0.0000,0.0000,0.0000,18.2662
0.0000,0.0000,0.0000,0.0000,17.1485
4.1282,46.6156,4.1738,22.8851,0.0000
0.0000,0.0000,0.0000,0.0000,18.2624
0.0000,0.0000,0.0000,0.0000,16.1901
4.2880,46.5658,4.0195,19.5055,0.0000
0.0000,0.0000,0.0000,0.0000,16.4672
