preprocessing_time,inference_time,postprocessing_time,tracking_time,network_time
5.5876,32.9819,0.5345,3.3638,27.5322
6.1433,33.0503,0.4561,3.2072,29.1431
5.6179,31.8730,0.4411,3.2229,27.8451
5.6276,31.9796,0.4361,3.2365,28.7202
5.6012,33.8976,0.4501,3.6328,25.4183
5.5578,30.7271,0.4263,3.5799,31.7089
5.5335,29.9048,0.4253,3.2020,28.9344
5.5692,29.9714,0.4270,3.3307,30.7017
5.6171,32.1310,0.4392,3.8679,33.9449
5.6679,31.5616,0.4418,3.8760,30.4527
5.5342,31.4198,0.4301,4.0584,29.5576
5.4822,30.4394,0.4129,3.9625,31.7030
5.3883,30.0121,0.4160,3.8481,25.3355
5.3849,30.4606,0.4237,4.2028,29.5280
5.3484,29.8052,0.4144,3.8338,28.5982
5.4405,30.6256,0.4292,3.7501,34.7547
5.4908,30.1709,0.4256,3.6805,32.2323
5.5132,29.3953,0.4387,3.6211,29.0317
5.4958,30.7558,0.4249,3.7441,27.5795
5.5754,30.7038,0.4277,3.7174,27.5757
5.5091,29.9194,0.4265,4.7362,31.4088
7.0343,31.2204,0.4268,3.6504,25.6681
6.1822,29.6364,0.4110,3.8216,28.9488
5.4815,29.1302,0.4146,3.8457,32.1280
5.5497,30.7286,0.4263,3.8507,29.4448
5.4915,31.6741,0.4644,4.0925,29.2775
5.4326,30.4689,0.4127,4.0185,28.6672
5.4734,29.7425,0.4156,3.7732,28.5954
5.4638,30.4155,0.4241,3.8443,29.8522
5.4483,28.8577,0.4160,3.6902,27.5877
5.4214,30.8800,0.4451,3.7689,28.4846
5.4536,29.1929,0.4230,3.8736,30.0569
5.3902,29.7678,0.4261,4.3626,33.0534
5.4991,29.5701,0.4127,4.1895,25.3286
5.4805,30.3686,0.4151,4.2195,30.5163
5.4550,31.5282,0.4113,4.4329,31.1726
5.4438,30.3133,0.4139,4.6639,31.1651
5.4119,29.5031,0.4013,4.4057,30.2780
5.4314,29.4583,0.4017,4.1165,30.5920
5.4955,28.7731,0.4036,3.9110,28.4167
5.4646,29.6681,0.4041,4.0295,31.4337
5.4579,29.4797,0.4041,4.1311,32.5272
5.4350,30.7555,0.4117,4.1716,28.2261
5.5194,30.8394,0.4058,4.4258,32.8096
5.5797,30.3624,0.4227,4.1661,33.4691
5.5437,31.5204,0.4189,4.3435,35.1735
5.5783,30.4739,0.4170,4.0936,26.4371
6.4187,30.2496,0.4165,3.9639,30.9512
5.5404,30.4439,0.4270,3.9148,28.6739
5.5406,30.4675,0.4151,3.9325,30.6443
5.6510,32.3880,0.4468,3.9434,32.5708
7.0260,32.5184,0.4134,4.1142,30.9281
5.6598,31.1992,0.4146,4.2675,35.4589
6.3438,31.7459,0.4148,4.1089,28.3865
5.5237,31.6205,0.4115,4.3578,34.0865
5.8613,31.4968,0.4327,4.8702,29.3390
5.5137,30.8535,0.4020,4.4053,30.8256
5.5115,29.9122,0.4032,4.2679,31.9051
6.7852,35.5096,0.4661,4.4200,28.8191
5.5470,31.7400,0.4218,4.3588,30.9325
5.4746,31.1685,0.4017,4.3952,29.5600
5.5888,32.2583,0.4017,5.0611,29.6901
5.4648,30.4034,0.3943,4.6484,29.0890
6.3565,33.2916,0.5097,4.8931,32.9491
5.7540,36.2730,0.4749,5.0781,30.4200
6.2559,33.3395,0.4404,4.9014,26.0629
5.6887,31.4853,0.4263,4.4618,25.9380
5.5361,33.0083,0.4153,4.8397,30.2006
5.4946,30.1766,0.4020,4.4434,26.4834
5.5692,29.4290,0.4137,4.2696,32.3186
5.4939,31.2486,0.4323,4.4997,31.3256
6.9699,29.7685,0.4013,4.3259,29.5345
6.2845,29.4745,0.4008,4.4639,25.3763
5.5964,31.4605,0.4792,4.9624,30.5014
5.5969,31.3818,0.4103,4.5485,29.0624
5.5726,30.0779,0.3951,4.6554,31.2991
5.5809,30.7176,0.4032,4.9527,33.3457
5.5258,32.1755,0.4399,4.8366,29.0222
5.5282,30.5321,0.3972,4.8344,30.7080
5.5525,30.0477,0.3910,4.8540,29.1548
6.3989,32.3229,0.4125,4.8239,33.0418
5.6159,31.1208,0.4122,4.5686,31.2825
5.5733,30.2615,0.4027,4.4866,34.2760
5.6336,33.5355,0.4189,4.5445,27.8675
5.6050,30.3030,0.4044,4.2005,27.4872
5.6019,30.2994,0.4015,4.2708,31.4264
5.5742,30.2653,0.4013,4.2441,30.5151
5.7495,30.7171,0.4144,4.2560,31.8630
5.6379,29.7637,0.4120,4.4403,32.7461
5.5540,30.3941,0.4156,4.4765,30.1599
5.5676,33.9031,0.4282,4.6260,25.4751
6.5091,29.5506,0.4029,4.3757,30.1618
6.0833,30.2083,0.4003,4.3602,26.9479
5.5797,30.9441,0.4733,4.6372,27.3657
5.5304,30.8483,0.4075,4.3039,32.9100
5.5194,28.5738,0.3927,4.2877,26.2265
5.6238,30.4556,0.4091,4.3766,33.1348
5.5594,31.4727,0.4117,4.5385,31.0176
5.5361,29.5739,0.3896,4.4968,30.0036
5.4655,28.0147,0.3848,4.0264,29.1086
5.5172,28.5299,0.3836,4.1726,32.3967
5.5139,29.4614,0.4046,4.4081,30.2120
5.5122,29.1522,0.3960,4.4844,28.4552
5.5459,28.4538,0.3819,4.2667,32.3516
6.2840,29.1281,0.4034,4.3945,26.7900
5.4464,28.6212,0.3817,4.2367,28.3140
5.6729,28.7631,0.3817,4.4024,27.7799
5.4944,28.5759,0.3817,4.3991,28.1490
5.5337,27.8857,0.3831,4.2927,30.9048
5.5175,27.9124,0.3803,4.2307,29.9591
5.4421,28.8000,0.3886,4.3280,29.0412
5.4357,28.6596,0.3846,4.3066,28.2136
5.4624,27.8933,0.3829,4.1919,33.0695
5.4188,27.8893,0.3941,4.1523,26.1456
5.4123,26.6452,0.3912,4.9632,30.5881
6.9458,28.6849,0.3943,3.9008,30.0742
5.5988,28.3036,0.3884,3.8342,28.8750
5.5616,27.9734,0.3803,4.0216,31.0631
5.4755,27.2133,0.3822,3.8691,31.0599
5.4188,28.8746,0.4680,4.2231,34.0155
5.4574,28.7983,0.3927,4.0076,31.3440
5.5370,27.9040,0.3917,3.6075,30.5597
5.4264,28.8267,0.3924,3.9155,30.4389
5.4483,29.3429,0.3910,4.0045,29.8133
5.4951,28.6365,0.3927,3.7982,27.6776
6.3455,29.0556,0.3972,3.7575,28.4442
5.4235,28.0337,0.3915,3.6538,27.4975
5.5058,29.3314,0.3927,4.1780,30.5920
5.4581,29.2833,0.3927,4.2078,24.6581
5.4624,29.4127,0.3924,4.2119,30.5205
5.5127,28.0821,0.3941,3.9384,30.0726
5.4507,27.9512,0.4022,3.8016,30.3942
5.4314,28.8796,0.4029,3.8044,26.4816
5.5742,29.2814,0.4125,4.1344,29.5975
5.4836,28.6431,0.4036,4.0112,28.4584
5.4822,28.8439,0.4034,4.1966,29.0739
