preprocessing_time,inference_time,postprocessing_time,tracking_time,network_time
7.3818,41.9260,13.5005,5.6565,65.5352
7.4840,41.5527,14.2324,5.8672,73.8637
7.4299,41.6605,14.3900,5.9154,49.6042
7.6275,41.7155,14.6182,5.6400,58.3988
7.5362,41.6607,14.3854,5.5346,72.8831
7.4191,41.2992,16.4587,5.7204,59.1026
7.8074,41.6602,17.0526,5.6603,64.8195
8.9900,37.4206,18.6620,6.5503,67.3771
9.6772,43.8615,16.4108,5.2936,56.7569
8.3667,42.2917,15.9570,5.5878,83.7968
7.2403,41.8186,16.0332,5.3704,61.5375
7.9430,45.1790,15.3366,5.6040,74.9374
8.1052,41.9000,15.7038,5.6679,55.6231
7.5205,41.7334,16.4402,5.8615,71.4444
7.5062,41.3710,15.4427,5.8916,52.7885
7.5072,41.6123,15.7172,6.2273,71.9360
7.4717,41.8230,15.7904,6.3205,75.5944
7.4553,41.6229,15.5917,6.4034,54.9267
7.4933,42.8848,15.6196,6.3372,49.6651
9.4322,42.8890,14.5784,5.9111,50.1893
7.4717,42.3412,14.2916,5.9774,68.9181
7.4968,41.3471,12.6561,5.4402,72.0598
7.4478,41.5307,12.7201,5.5048,66.7966
7.9331,41.3090,15.3708,5.3780,75.0091
7.3781,44.5264,14.0055,5.5375,75.5525
7.7832,41.6378,14.5702,18.8084,67.2004
6.5625,30.3132,11.3347,5.0554,40.7342
6.5820,32.3520,11.2005,5.1439,69.7216
6.9164,35.1986,12.5799,5.3647,51.9404
7.0477,38.5272,14.6431,5.4610,53.3210
7.4370,41.4663,14.8554,5.6520,59.5893
7.4394,41.6705,14.0194,5.6689,69.2018
7.4695,41.5390,13.7229,5.5573,58.7113
7.3717,43.5483,15.4864,6.7935,53.8001
6.3288,29.2639,10.3764,4.8707,64.1602
6.4349,31.6513,11.7279,5.0395,66.1464
6.6142,33.9966,11.6251,5.0769,56.6872
6.9660,38.5259,13.3786,5.4214,46.7081
7.0256,39.9152,14.9699,5.5759,45.5134
7.2604,41.7383,14.3469,6.6552,70.9992
8.5890,43.1710,14.0968,5.5993,50.5439
7.9579,41.3768,15.3684,5.6334,49.6635
8.0547,41.5611,16.2858,5.6934,53.4050
7.3352,42.3158,15.1231,5.9168,56.3091
7.2581,41.5051,15.5491,5.6581,55.0296
7.3289,42.1820,14.8231,5.5344,64.1316
7.1370,41.3679,14.9388,5.2667,51.2896
7.2404,41.5089,16.8897,5.3005,71.0605
7.4659,41.5299,16.4173,5.2810,65.3059
7.2687,41.3471,13.3844,5.3401,50.6597
9.4572,43.6500,14.2159,5.6500,76.0269
7.2275,41.6780,15.0854,5.3251,70.6840
7.2500,41.7477,14.2934,5.4204,61.2885
7.1956,41.5950,13.2569,5.1322,59.8203
7.2760,41.8483,14.2030,5.1033,64.5694
8.2353,42.5276,12.5309,4.9603,70.7459
7.2090,41.7457,14.2382,4.9026,61.9045
7.2931,41.4920,15.0893,5.0349,71.0907
7.2226,43.9687,15.0449,5.0893,64.6745
9.4785,39.8296,12.0039,4.9784,66.7096
8.1094,42.3933,12.6464,5.1367,61.7142
7.1664,41.4948,13.4861,5.1219,67.7308
7.2137,41.3420,14.3974,5.4541,70.5928
7.2943,41.4660,16.7976,5.4915,70.9506
7.2119,43.0191,15.0000,5.6412,55.1278
7.2523,42.5130,15.9529,5.9330,70.3488
7.2470,41.3748,14.9515,5.7883,70.6384
7.2514,41.7382,12.7817,5.8410,68.3877
7.2763,41.5732,13.4807,5.8079,67.8619
7.2315,41.5503,14.7736,5.5807,65.8639
7.2434,41.5628,15.3885,5.6074,60.1979
7.4640,42.0419,16.1152,5.5361,64.8428
7.2162,41.5167,15.6562,5.7325,61.8784
7.2362,41.4231,16.4895,5.7068,53.1444
7.1345,41.4832,14.4791,5.5470,64.3562
7.1969,41.7469,15.8777,5.6448,47.5337
7.2103,41.6466,15.7289,5.6908,48.7234
7.2632,41.5664,16.1124,6.0613,61.9967
8.5131,38.6860,12.9646,5.6379,60.1984
8.9194,37.1527,12.1326,5.0936,63.7017
8.0276,36.6430,11.6776,5.4071,63.2447
8.1554,36.7202,12.8839,5.7585,64.4820
7.4315,37.5603,13.1443,5.8486,76.0153
7.3794,36.7274,11.6782,5.2388,53.9762
7.5127,36.5538,12.0770,5.5544,43.3021
7.4312,36.7774,11.0053,5.5082,47.2779
7.4965,36.7134,12.6151,5.3730,44.8020
7.6296,36.6880,10.4163,5.0714,55.1947
7.5562,36.6524,11.4264,5.2590,55.1060
7.5336,36.7318,10.9003,5.4598,72.3745
7.5468,38.7915,11.0415,5.3101,68.3101
7.6697,37.7023,11.0268,5.5001,62.1011
7.5449,36.7045,10.8300,5.2593,62.6613
7.5822,36.6123,11.3918,5.1212,74.2925
7.5985,36.7848,10.7819,4.8037,64.0311
7.4839,36.8589,10.5295,4.7798,60.3479
7.4134,36.7793,10.9260,4.6704,70.2109
7.4585,36.7581,11.0195,4.8349,61.9290
9.6226,52.1259,18.3977,7.7145,69.1393
9.8946,48.9528,18.4857,7.9582,76.7087
10.0005,39.8536,12.6275,5.7695,70.7489
7.4913,28.3869,10.5283,5.8124,62.7811
7.9782,43.2002,17.0181,6.5467,73.2568
7.9185,31.4296,12.6179,5.9583,42.0757
8.1192,37.5587,12.4863,5.7478,35.0880
8.8420,30.3881,12.5107,5.4245,31.8347
7.2747,30.0356,12.9173,5.9402,30.8322
6.5583,29.5431,11.8188,5.9106,41.1692
6.4579,30.3809,12.0185,5.7654,37.3773
6.5569,30.4409,12.2511,5.7077,29.0434
6.4261,28.3817,13.1304,5.8653,30.1965
7.7878,30.6051,13.8985,6.1069,34.6017
6.4056,29.8715,13.3592,6.1436,49.2201
6.5781,32.6127,14.5453,6.7384,64.5255
6.8209,36.0490,14.7348,7.0066,65.3887
7.3274,39.9840,16.3823,6.9215,63.3848
7.6269,41.6975,16.8523,7.0782,53.7451
7.3639,41.8850,14.9868,6.6402,58.1241
7.3079,41.5572,16.0870,6.7313,69.3166
9.6847,43.0748,16.3575,7.0019,65.8811
7.4855,41.5001,17.6907,7.1943,53.1294
16.6634,53.5461,15.3528,7.0193,68.4184
8.3320,41.5737,17.7701,7.0789,72.2453
7.5171,41.6235,16.4475,7.2887,61.1232
7.1387,41.3043,15.6300,7.0255,36.9015
6.6550,34.1827,14.4205,6.6054,29.1364
6.8994,34.0884,15.0880,6.6750,49.2492
6.9072,36.2097,16.3899,6.9518,53.5414
7.0510,36.1005,17.0483,6.9182,45.8820
7.2930,40.1314,15.9791,6.6385,62.9580
7.3039,41.5675,18.9294,6.7546,61.4446
7.5071,42.0308,19.5272,7.0944,67.8405
7.5430,41.8676,19.1048,7.3738,75.1108
7.6023,42.2459,19.5010,7.1597,69.4911
7.4421,41.5290,17.9009,7.1812,69.9468
7.3932,41.7105,18.5929,7.1931,64.1103
7.8373,42.1876,17.4821,6.7542,65.7388
7.4763,41.7562,17.9099,6.9823,60.8753
7.4823,43.9583,17.9569,7.2827,62.3198
9.5662,41.9237,17.6203,7.0958,56.7940
8.2229,41.5779,17.9833,7.3040,70.9119
7.3754,41.9645,18.8165,7.6404,63.2032
7.4642,41.3602,17.1679,6.9847,38.0230
6.8562,37.1717,15.7540,6.7394,31.4787
6.6385,34.1924,14.8492,6.4204,41.8995
6.6232,33.0917,14.6364,6.9289,45.7198
6.7805,34.3817,15.5298,6.8693,50.4387
6.6982,34.8426,16.0336,7.0004,49.4252
7.0066,36.8346,16.3567,7.0043,51.7978
9.7315,43.5451,17.8958,7.5347,74.2929
7.3982,41.5432,17.7248,7.3104,64.0234
7.6775,41.6584,16.9505,7.1735,72.5401
7.5501,42.2331,18.2459,7.1294,64.8415
7.4329,41.9648,16.4725,7.0317,62.0981
7.4774,42.1425,15.1143,6.4211,59.8447
7.4926,41.5706,16.4221,6.8309,60.6838
7.5220,43.7968,17.1978,6.7070,49.7764
9.8021,42.0706,16.2812,6.6545,54.1916
8.1573,42.4542,17.6447,6.8865,62.8573
7.3355,40.1453,14.6735,6.3534,43.4923
7.3442,39.8554,14.3596,5.9960,49.4448
7.4838,41.5199,16.9038,6.0446,68.0479
7.7154,43.0382,15.4994,6.2258,74.5212
7.5671,41.7821,14.2000,6.3522,66.0986
7.6225,41.6579,15.4384,6.8450,50.4362
7.5365,41.9491,15.4031,6.7799,50.3314
8.7674,39.7633,14.6319,6.4662,47.3712
7.5577,41.7845,16.4992,6.6147,60.5439
7.5383,41.5221,14.9002,6.5060,62.5334
8.9850,43.4157,15.6758,6.5646,65.3589
8.8887,41.7061,15.8708,6.6297,51.9047
8.0419,41.6540,13.4443,6.0551,59.8047
7.4807,41.4230,14.9211,6.2809,52.8943
7.5612,41.6633,15.9060,6.5329,60.3366
8.5621,43.2335,14.6107,6.6681,64.9256
7.5334,41.6539,15.4661,6.5458,64.8008
7.2948,41.8036,15.7788,6.3756,63.7472
7.4058,41.6030,16.2165,6.7039,67.0708
7.4350,41.6202,14.1477,6.6357,61.1614
7.5745,41.5152,17.3985,7.0078,45.5040
7.4606,41.8000,14.9113,6.0887,64.7394
7.4750,41.8114,15.9784,6.2048,56.5304
9.5779,43.2193,13.0138,6.2077,51.9813
8.1039,41.9330,13.9531,6.2773,64.7327
7.4552,41.5353,15.3943,6.3419,68.2733
7.4382,41.5109,14.1728,6.5117,67.3664
7.4818,41.5922,16.2399,6.3703,72.3158
7.3156,44.3967,16.3949,6.3305,64.5623
7.6023,41.9131,16.1619,6.3400,67.9827
7.4392,41.8136,16.7716,6.5560,67.4196
7.4430,41.4949,16.3563,6.3117,63.3941
7.4696,41.6360,17.8662,6.3212,54.7070
7.4240,41.5379,17.7071,6.6149,61.7161
7.2780,41.5289,16.0949,6.4373,47.6609
7.3321,42.0145,17.1145,6.4654,68.0735
7.6091,41.8069,16.8623,6.3808,63.3409
7.4168,41.6330,17.2142,6.4545,53.2815
6.9476,38.5333,18.8358,6.4154,31.2679
6.9753,37.4305,16.3840,6.6183,34.5919
6.8985,36.2953,16.8011,7.0281,38.9770
6.7692,34.9906,15.1815,7.1113,35.9474
6.6774,34.3185,15.2911,7.3228,34.3902
7.8127,33.9193,15.0410,6.4673,31.7597
7.7841,31.0875,14.4216,6.3155,34.3913
6.4174,30.1686,14.4388,6.4256,29.5496
6.3894,29.8202,15.3664,7.2398,31.1842
6.4646,30.2470,14.5818,6.3195,34.3871
6.3932,28.8712,13.2907,5.8677,26.5772
6.3607,28.5039,14.9663,5.8520,32.3171
6.4107,30.2595,14.9497,6.2685,47.1116
6.6650,32.4712,16.1280,6.3648,68.3710
6.8645,35.3510,17.3183,6.7196,56.7466
9.3376,39.6234,15.1274,7.9474,67.9642
9.2152,39.8700,13.1567,9.1410,58.6171
9.5338,40.3491,12.2718,5.9366,51.9087
7.3793,36.5778,14.2211,6.1624,63.6594
7.3887,37.0586,13.1745,6.0005,62.3777
9.4104,41.8999,16.5528,6.9652,64.1717
7.3343,41.3053,17.8695,7.1166,63.3743
7.4081,41.7149,17.3181,6.9380,65.6209
7.3625,41.5011,14.9139,6.6288,63.5937
7.5343,42.0426,15.5590,6.3841,63.4800
7.5211,41.7323,16.9881,6.5119,57.2466
7.5341,44.5472,15.8427,6.4287,64.6473
9.5484,41.5388,16.6074,7.3876,55.9178
8.1758,41.5733,17.0006,6.5551,60.6952
7.2464,41.4236,16.1892,6.3980,67.7428
7.4199,41.5219,15.6261,6.2912,64.1409
9.8710,43.8695,15.6459,6.3198,73.2938
7.5531,41.7217,16.3500,6.5651,67.8101
7.5871,41.7895,16.4276,6.3934,68.8024
7.5159,41.8098,16.3557,6.2473,58.0713
7.6058,41.9641,17.7142,6.4516,69.2643
7.3439,41.6055,17.8930,6.9296,64.2280
7.3321,40.0523,15.6889,6.7172,36.2095
7.3416,42.5764,15.8885,6.9425,72.2510
9.0328,43.0129,16.1301,7.0236,64.8006
8.8405,42.1278,15.9139,7.0040,42.1138
7.2905,39.9476,15.0076,6.3937,45.3606
7.3561,41.5574,15.4009,6.2537,47.4319
7.3359,41.6259,17.5013,7.1545,49.3824
7.5760,43.1580,18.5809,7.0462,54.6389
7.3538,41.4503,16.3037,7.0751,44.8171
7.3414,41.4824,18.7222,7.3225,53.1315
7.2678,41.8434,20.7057,7.0701,59.1130
7.2369,41.4835,19.3714,7.4739,63.4343
7.3314,41.7373,17.2524,7.5309,49.1480
7.3579,41.6454,18.8736,7.5998,60.5233
7.3261,41.7615,17.1322,7.5438,60.2364
7.3743,41.4884,17.1733,7.3493,60.6147
7.2314,41.6378,18.4896,7.3833,60.2579
6.9708,38.7715,16.8085,7.4978,33.9514
6.8170,36.3094,14.3324,7.1449,46.3963
7.2247,39.3375,15.8853,6.9792,49.5733
7.2069,41.5058,16.4109,8.5261,80.3503
8.9647,43.1910,19.0996,8.2660,60.4787
8.8308,41.2132,20.0519,8.5628,67.3413
7.5054,41.4585,17.6980,8.7802,71.5579
7.2057,42.5343,18.5723,9.0199,69.6678
7.4122,41.6589,17.7733,8.9428,64.2128
7.2175,41.6151,18.2771,9.0263,64.8640
7.2879,41.5164,21.3008,9.5916,71.3033
7.2824,41.5213,20.3307,9.1457,66.7199
7.2504,41.8146,16.3404,8.3094,69.2852
7.4190,41.4503,21.0854,9.5246,65.5207
7.4503,43.0230,19.4154,9.7344,60.3769
9.2673,43.0551,17.8932,11.5392,63.2452
9.3341,43.3391,16.5307,10.5824,61.2137
7.2863,37.0466,14.4199,8.2476,61.9996
7.3605,36.9930,14.5782,8.5018,43.5665
7.3735,36.6156,14.0705,7.7496,62.1908
7.3548,36.9337,13.1771,7.9684,57.5660
7.1548,36.6910,12.6405,8.1847,59.3290
7.3690,36.9232,12.7994,8.3754,56.5330
7.2485,36.7492,13.7033,7.9618,64.3372
7.2689,36.6566,13.8104,8.0898,61.1743
7.2936,36.7053,14.7393,8.1441,45.1177
6.7949,32.5818,12.1539,8.0903,33.3791
7.3986,36.6398,13.7572,8.0547,70.1497
7.3871,36.9803,14.4979,8.5123,68.6224
7.2522,36.6176,14.3066,8.0326,56.7910
7.4223,36.7859,13.8395,7.8404,56.1119
7.4716,36.7774,15.0768,8.1904,62.4838
7.3641,36.8362,13.8793,8.2684,56.6520
7.4433,36.7205,14.9173,8.1134,64.8055
7.4918,36.6539,13.7826,8.0588,68.0129
7.3174,36.7317,15.6441,7.9122,61.3946
7.4646,36.9252,13.9955,7.5626,51.0521
7.4334,36.7846,13.2007,7.7615,57.8198
7.3984,36.5980,15.1421,7.7455,48.1160
6.9022,31.6172,12.5532,7.2565,22.6709
7.1267,34.0107,14.2885,7.4952,110.0789
7.4950,37.0130,13.8668,8.1708,55.4544
7.4913,36.8542,12.9198,7.4666,50.2681
7.4100,38.5307,15.6686,7.6768,53.7139
9.4150,37.4104,14.8744,7.6983,53.6019
8.0793,36.5845,14.3948,7.3979,55.5435
10.3460,49.3164,23.3772,12.5177,66.4427
9.7109,49.4336,18.3748,8.5444,61.9363
7.4697,41.8921,18.1568,8.5988,59.8826
7.8401,41.5572,19.8606,8.8220,64.9201
8.5651,43.0402,17.0427,8.8158,58.5362
7.4666,41.4591,17.8422,8.5065,62.7256
7.6959,41.3977,17.0171,8.2877,64.6016
7.4520,41.6906,17.8835,8.0304,61.9435
7.5653,41.6338,17.1441,7.8321,61.8247
7.5063,41.7951,16.8194,7.7517,75.1275
16.5129,40.2822,19.6611,7.1766,71.3672
7.5183,41.9251,16.9149,6.7616,50.8801
7.3067,41.4491,17.2578,6.7103,58.2761
7.5106,41.7004,17.7078,6.7716,46.3096
7.4595,41.8054,17.3319,7.0975,45.3057
7.1648,38.7093,18.2673,7.2520,41.6066
7.2693,39.8895,19.2795,7.3450,59.2167
7.4618,41.5569,22.2591,7.7751,55.9471
9.3178,43.0762,18.9739,7.2970,65.3351
8.1247,41.3884,20.4469,7.7567,57.2833
7.4922,41.4649,17.6644,7.6146,53.7639
8.2113,41.6867,17.9311,7.6449,64.5260
7.3109,40.0970,17.8381,7.1003,45.6537
7.4737,41.5647,17.6157,7.3497,49.9962
7.4963,41.3948,18.2099,7.5552,44.3438
7.5116,41.5267,18.4376,7.1149,58.4092
7.5185,41.5065,18.3043,7.0293,59.6414
7.5722,41.7618,20.6798,7.3071,72.6791
7.5749,43.3602,19.4235,7.1454,61.4960
7.2508,41.7448,18.2996,6.9273,58.7775
7.5891,41.6044,18.2975,7.1323,57.3767
7.2853,39.8875,15.8367,6.9659,44.0246
7.5196,41.3044,17.7282,6.8345,55.6133
7.6250,41.8365,16.9962,6.7701,50.7722
7.6070,42.0089,15.7420,6.5725,70.0696
7.4657,41.8149,18.0321,6.6533,65.0340
7.5135,41.6583,18.3068,6.5053,67.0161
7.4990,41.5430,20.0070,6.7487,49.2023
7.5092,41.4578,20.0185,7.1173,69.8972
7.5317,41.4922,18.9993,7.1507,60.8261
7.4771,41.4739,19.4962,7.0658,54.4870
7.3948,42.0779,17.9151,7.4089,48.2033
7.4873,41.6596,18.0759,7.1900,56.5872
7.5703,41.7476,20.3253,6.9268,65.4300
7.7409,42.0714,20.0108,7.0341,65.1428
7.5593,41.8185,18.6441,7.0345,66.9436
7.5502,43.6252,18.6885,6.7286,64.4075
9.5388,42.3226,18.0881,6.3875,54.6630
8.1884,41.8458,19.6474,6.9699,58.3485
7.4760,41.6842,17.6464,6.7480,71.4454
7.4425,41.6758,18.5594,7.1366,54.1857
7.4044,43.4736,17.8093,6.8460,75.4667
7.4497,42.2703,18.8493,6.6993,46.7314
7.4662,41.2950,18.6705,6.9761,52.5922
7.5511,41.9161,18.0866,7.0634,48.3828
7.4541,41.6649,17.9175,6.6919,49.2716
9.6939,35.1264,19.8033,7.0105,65.3659
7.5869,42.2466,16.9401,6.6125,62.6139
7.5684,41.7923,15.6386,6.5472,63.4535
7.5340,41.6414,17.0578,6.7604,51.0064
7.5223,44.3703,17.9479,7.0407,52.1188
9.2751,41.9867,16.7950,7.4177,50.5255
8.1960,42.0809,16.4093,7.1087,46.2051
7.5093,41.5564,17.9272,7.1530,52.8541
7.4718,41.4979,17.0512,7.1185,54.8606
7.5608,43.5307,17.0811,6.9644,60.8630
7.5360,42.3678,15.9171,6.7961,60.3830
