preprocessing_time,inference_time,postprocessing_time,tracking_time,network_time
5.7275,38.2359,0.3762,3.1953,62.4651
5.7158,35.9313,0.3898,3.1779,56.7852
5.5838,37.7839,0.3743,2.8732,63.3848
5.6939,36.8319,0.3765,2.9724,47.1253
5.6953,35.4133,0.4053,2.8732,62.6129
7.2000,39.2776,0.4373,3.3026,80.7825
7.1447,36.5188,0.3786,3.0360,65.9219
6.4411,35.4972,0.4046,3.2322,68.4249
6.2504,36.9117,0.3977,3.5763,58.8639
5.7025,37.6427,0.3757,3.3929,59.8862
5.7120,48.8279,0.3941,4.4060,68.6600
5.6677,35.4006,0.3920,2.8698,59.6699
6.3195,36.2663,0.3777,2.8753,47.1612
5.7342,37.6487,0.3910,3.0041,53.2220
5.5337,36.6948,0.4015,2.9187,62.4513
5.7094,37.1599,0.3781,3.0484,61.7042
5.8398,37.0059,0.4113,2.9023,62.8407
5.6975,34.9734,0.3977,2.8667,65.0647
5.5778,34.1923,0.4044,3.0355,57.7900
5.7166,34.5788,0.3905,3.2318,47.0823
5.5926,34.1504,0.3898,2.9752,56.8920
5.7063,34.7054,0.4315,3.1488,56.0080
5.6622,33.4096,0.4044,2.8901,64.6337
5.8167,35.5904,0.3936,3.0808,60.1185
5.6558,35.2225,0.3917,3.1030,56.6270
6.0558,38.2152,0.4110,3.2618,52.0562
5.9211,36.1829,0.3757,3.1428,46.3775
5.8124,34.6115,0.3898,3.2723,41.9140
7.5662,38.0313,0.3817,3.3801,38.6407
6.4082,34.7481,0.4022,2.9719,45.4696
5.5788,34.5125,0.3917,3.7124,44.8046
5.6951,36.3524,0.3991,2.9879,48.5655
5.5351,36.3595,0.4296,2.8515,45.8243
5.6701,38.6102,0.3800,2.9190,58.4207
5.7464,35.7540,0.3889,2.8977,64.2130
5.6634,37.9117,0.3753,3.3164,40.7332
5.5554,41.7223,0.3879,3.4454,58.8890
5.6734,39.7701,0.4232,3.3338,60.7995
5.5902,38.9006,0.3984,3.1700,63.9408
5.6701,38.1515,0.3769,3.5720,63.2295
5.5773,39.2354,0.3746,3.7282,67.0845
5.6736,38.9249,0.3769,3.6228,32.4018
5.4948,38.6808,0.3624,3.3681,24.0939
5.7104,40.8266,0.3750,3.2587,57.8293
5.5785,40.3669,0.3746,3.7189,62.9611
5.7571,39.9029,0.3767,4.0276,60.9357
5.6193,41.0156,0.3808,3.8159,53.1684
5.6002,38.9800,0.3760,3.5620,62.4818
5.7261,40.0894,0.3765,3.6871,64.1209
5.4984,40.9167,0.4172,3.7982,58.3695
5.6427,41.3218,0.3755,3.9370,67.7230
5.6446,38.7776,0.3805,4.1447,60.0526
5.6393,39.0444,0.3746,3.9704,59.9713
5.4879,38.1997,0.3760,3.9434,58.9930
5.6689,38.3177,0.3750,3.9692,60.6692
